epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
74,976.472,1.04876,0.79776,0.0104,0.70727,0.66885,0.72813,0.47841,1.31436,1.2365,0.02076,0.00106463,0.00106463,0.00106463
75,989.104,1.00999,0.75933,0.01019,0.68131,0.67241,0.70382,0.4763,1.24742,1.18184,0.0194,0.00105638,0.00105638,0.00105638
76,1001.75,1.00109,0.76923,0.00994,0.75545,0.68478,0.73903,0.50066,1.25391,1.06572,0.01955,0.00104813,0.00104813,0.00104813
77,1016.33,1.06194,0.82769,0.01064,0.70107,0.63131,0.6901,0.48336,1.23759,1.1636,0.01847,0.00103987,0.00103987,0.00103987
78,1029.1,1.01512,0.76619,0.01012,0.75341,0.61298,0.70373,0.48348,1.30561,1.22822,0.01974,0.00103162,0.00103162,0.00103162
79,1041.94,1.07099,0.81418,0.01089,0.74502,0.6654,0.7357,0.49768,1.29868,1.11012,0.02164,0.00102337,0.00102337,0.00102337
80,1054.64,1.04851,0.81725,0.01091,0.77344,0.67875,0.75259,0.5344,1.22109,1.05373,0.01921,0.00101512,0.00101512,0.00101512
81,1068.25,1.07885,0.82849,0.01113,0.73814,0.65443,0.73982,0.51864,1.22029,1.04913,0.01863,0.00100687,0.00100687,0.00100687
82,1080.92,1.0092,0.76697,0.01006,0.77344,0.65875,0.75461,0.53294,1.19874,1.05528,0.01814,0.000998616,0.000998616,0.000998616
83,1093.81,1.02733,0.76125,0.00998,0.73616,0.68078,0.75776,0.52298,1.23304,1.02245,0.0188,0.000990365,0.000990365,0.000990365
84,1106.39,1.03321,0.78731,0.01014,0.7158,0.65657,0.71913,0.51946,1.16736,1.05985,0.01729,0.000982113,0.000982113,0.000982113
85,1119.08,0.99057,0.76259,0.00985,0.71504,0.67737,0.7352,0.51752,1.20189,1.10422,0.01828,0.000973861,0.000973861,0.000973861
86,1131.82,0.99232,0.74883,0.01014,0.69455,0.67223,0.71329,0.4949,1.25563,1.13882,0.01915,0.00096561,0.00096561,0.00096561
87,1144.44,0.97729,0.72517,0.00976,0.72988,0.68056,0.74635,0.50953,1.22305,1.03452,0.018,0.000957358,0.000957358,0.000957358
88,1156.93,0.97751,0.7246,0.00942,0.76532,0.64459,0.74155,0.50778,1.22709,1.07921,0.01771,0.000949106,0.000949106,0.000949106
89,1169.64,1.00517,0.75118,0.00977,0.73385,0.68187,0.73457,0.49907,1.27538,1.20236,0.01858,0.000940855,0.000940855,0.000940855
90,1182.26,0.97676,0.74939,0.01001,0.70188,0.67677,0.71952,0.50079,1.21818,1.13339,0.01868,0.000932603,0.000932603,0.000932603
91,1194.9,1.03115,0.77757,0.01007,0.78381,0.63208,0.74214,0.52193,1.22685,1.08414,0.01868,0.000924352,0.000924352,0.000924352
92,1207.56,1.01019,0.76152,0.00972,0.78406,0.66439,0.73433,0.521,1.18718,1.06094,0.01698,0.0009161,0.0009161,0.0009161
93,1220.24,0.99691,0.74588,0.00999,0.72157,0.63411,0.68235,0.4851,1.18943,1.29264,0.01746,0.000907848,0.000907848,0.000907848
94,1232.82,0.9499,0.69641,0.00944,0.7658,0.62723,0.71818,0.50892,1.21527,1.4963,0.01818,0.000899597,0.000899597,0.000899597
95,1245.39,0.96061,0.6843,0.00918,0.73211,0.66919,0.74111,0.52444,1.18668,1.13951,0.01681,0.000891345,0.000891345,0.000891345
96,1258.01,0.98082,0.75016,0.00984,0.74529,0.70807,0.75842,0.53488,1.20704,1.07817,0.01735,0.000883093,0.000883093,0.000883093
97,1271.89,0.95541,0.71512,0.00946,0.74621,0.70648,0.75375,0.53133,1.18625,1.06301,0.01736,0.000874842,0.000874842,0.000874842
98,1284.57,0.96603,0.7549,0.00957,0.79517,0.64965,0.75228,0.53746,1.17168,1.05636,0.01679,0.00086659,0.00086659,0.00086659
99,1298.06,0.98274,0.74307,0.00913,0.74839,0.68544,0.74373,0.53635,1.13748,1.02609,0.01608,0.000858338,0.000858338,0.000858338
100,1310.37,0.91089,0.67228,0.0087,0.81942,0.65152,0.74623,0.5465,1.13976,1.05596,0.01645,0.000850087,0.000850087,0.000850087
101,1323.94,0.96776,0.70351,0.00941,0.75059,0.70247,0.77652,0.55255,1.15171,1.00688,0.01619,0.000841835,0.000841835,0.000841835
102,1337.35,0.96254,0.71879,0.00949,0.76171,0.70556,0.78389,0.55501,1.13462,1.02273,0.01625,0.000833583,0.000833583,0.000833583
103,1351.08,0.94401,0.67666,0.00914,0.81428,0.72131,0.79983,0.5582,1.17053,0.93679,0.01682,0.000825332,0.000825332,0.000825332
104,1364.81,0.91991,0.66686,0.00891,0.78313,0.70581,0.78822,0.57744,1.14682,1.01018,0.01651,0.00081708,0.00081708,0.00081708
105,1378.44,0.93414,0.66675,0.00892,0.79904,0.71018,0.77993,0.55865,1.16322,1.00529,0.01698,0.000808828,0.000808828,0.000808828
106,1391.05,0.90654,0.62454,0.00892,0.80735,0.71676,0.78761,0.57249,1.12775,1.00054,0.01652,0.000800577,0.000800577,0.000800577
107,1403.69,0.93639,0.66944,0.0091,0.79034,0.70076,0.76462,0.55084,1.1485,1.10804,0.01653,0.000792325,0.000792325,0.000792325
108,1416.43,0.94268,0.67484,0.00897,0.79016,0.66402,0.76805,0.55426,1.15095,1.02841,0.01695,0.000784073,0.000784073,0.000784073
109,1429.19,0.90923,0.64844,0.00903,0.79347,0.69318,0.77079,0.55252,1.13793,1.01211,0.01654,0.000775822,0.000775822,0.000775822
110,1441.82,0.89791,0.62205,0.00876,0.77902,0.70904,0.76209,0.54529,1.15339,1.04534,0.01724,0.00076757,0.00076757,0.00076757
111,1454.51,0.9371,0.68812,0.00911,0.79494,0.69129,0.75877,0.53252,1.19184,1.09045,0.01726,0.000759318,0.000759318,0.000759318
112,1467.71,0.93021,0.66777,0.00843,0.77217,0.68137,0.74684,0.53331,1.13931,1.06802,0.01666,0.000751067,0.000751067,0.000751067
113,1481.11,0.89154,0.64108,0.0089,0.74239,0.7262,0.77097,0.55902,1.14705,1.02559,0.01679,0.000742815,0.000742815,0.000742815
114,1494.09,0.8806,0.63931,0.00818,0.72943,0.72059,0.76113,0.54611,1.12474,1.06849,0.01571,0.000734564,0.000734564,0.000734564
115,1506.76,0.88223,0.61476,0.00845,0.73927,0.698,0.75994,0.55632,1.10834,1.09007,0.01618,0.000726312,0.000726312,0.000726312
116,1519.39,0.90896,0.64971,0.00842,0.7732,0.68106,0.75638,0.5428,1.11834,1.03413,0.01613,0.00071806,0.00071806,0.00071806
117,1532.51,0.91894,0.65583,0.009,0.80071,0.67551,0.76369,0.54673,1.11043,1.04138,0.01593,0.000709809,0.000709809,0.000709809
118,1545.7,0.92337,0.6675,0.00895,0.82195,0.68687,0.76173,0.5469,1.10672,1.01532,0.01595,0.000701557,0.000701557,0.000701557
119,1559.79,0.89383,0.64338,0.00876,0.81044,0.69697,0.78286,0.58125,1.08504,0.91618,0.01594,0.000693305,0.000693305,0.000693305
120,1576.5,0.86335,0.59429,0.00836,0.81931,0.72469,0.79721,0.59104,1.07537,0.94807,0.01537,0.000685054,0.000685054,0.000685054
121,1590.65,0.85919,0.60626,0.00788,0.80762,0.64899,0.75752,0.54095,1.12389,1.02805,0.01586,0.000676802,0.000676802,0.000676802
122,1603.37,0.92346,0.65763,0.00898,0.80063,0.68961,0.76996,0.55791,1.13573,1.01053,0.01689,0.00066855,0.00066855,0.00066855
123,1616.55,0.88933,0.63303,0.00855,0.76246,0.72983,0.78452,0.57926,1.08035,1.02953,0.01508,0.000660299,0.000660299,0.000660299
124,1629.33,0.93812,0.65691,0.00912,0.77374,0.6972,0.75962,0.54412,1.11513,1.04076,0.01641,0.000652047,0.000652047,0.000652047
125,1642.12,0.86924,0.61385,0.00798,0.79333,0.72727,0.79008,0.56967,1.13498,1.00572,0.0159,0.000643795,0.000643795,0.000643795
126,1655.07,0.86141,0.60319,0.00792,0.79615,0.74819,0.80489,0.58523,1.125,0.94816,0.01611,0.000635544,0.000635544,0.000635544
127,1668.09,0.84965,0.56338,0.00776,0.79647,0.71119,0.79161,0.57805,1.09044,0.93355,0.01523,0.000627292,0.000627292,0.000627292
128,1688.38,0.88162,0.61165,0.00808,0.75111,0.72117,0.78042,0.56857,1.13189,0.97543,0.01696,0.00061904,0.00061904,0.00061904
129,1701.29,0.87962,0.60185,0.00819,0.75762,0.70413,0.75907,0.54426,1.12826,1.00319,0.01701,0.000610789,0.000610789,0.000610789
130,1714.06,0.87327,0.60333,0.00822,0.75715,0.72222,0.77528,0.55092,1.13657,0.96324,0.01662,0.000602537,0.000602537,0.000602537
131,1726.8,0.8665,0.60441,0.00843,0.76699,0.75882,0.80207,0.58848,1.06926,0.89897,0.01467,0.000594286,0.000594286,0.000594286
132,1739.42,0.85327,0.60536,0.00796,0.79873,0.69052,0.78873,0.56691,1.11736,0.91523,0.01674,0.000586034,0.000586034,0.000586034
133,1752.43,0.85396,0.5862,0.008,0.78747,0.745,0.80555,0.58684,1.09615,0.89462,0.01575,0.000577782,0.000577782,0.000577782
134,1765.27,0.88412,0.61221,0.00834,0.7476,0.75639,0.80422,0.58708,1.09119,0.92062,0.0152,0.000569531,0.000569531,0.000569531
135,1778.25,0.90058,0.61982,0.00851,0.81566,0.72687,0.80262,0.59522,1.0807,0.92097,0.01545,0.000561279,0.000561279,0.000561279
136,1792,0.83101,0.56689,0.00749,0.80619,0.70076,0.78507,0.58791,1.07241,0.92983,0.01525,0.000553027,0.000553027,0.000553027
137,1804.81,0.88125,0.60402,0.00795,0.84383,0.68239,0.79563,0.58312,1.08852,0.92787,0.01537,0.000544776,0.000544776,0.000544776
138,1817.57,0.84398,0.56118,0.00781,0.7859,0.74369,0.79971,0.58885,1.07154,0.90896,0.01486,0.000536524,0.000536524,0.000536524
139,1830.24,0.84243,0.58126,0.0078,0.7736,0.74669,0.79328,0.57557,1.09641,0.90935,0.01544,0.000528272,0.000528272,0.000528272
140,1843.02,0.83281,0.54644,0.00742,0.76786,0.74805,0.79581,0.58692,1.06221,0.90089,0.01508,0.000520021,0.000520021,0.000520021
141,1855.93,0.81143,0.56567,0.00752,0.76678,0.74045,0.80143,0.59194,1.0614,0.91037,0.01503,0.000511769,0.000511769,0.000511769
142,1868.63,0.78671,0.52047,0.00732,0.78711,0.73395,0.79852,0.59054,1.06269,0.90784,0.01492,0.000503517,0.000503517,0.000503517
143,1881.49,0.83256,0.56227,0.00764,0.81295,0.69571,0.78282,0.57967,1.07876,0.93585,0.01508,0.000495266,0.000495266,0.000495266
144,1894.2,0.83197,0.56879,0.0075,0.77514,0.73551,0.78914,0.57928,1.09248,0.96538,0.01548,0.000487014,0.000487014,0.000487014
