epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
61,434.862,1.12325,0.93111,0.01134,0.70956,0.65986,0.72732,0.48034,1.34726,1.14901,0.02164,0.0011719,0.0011719,0.0011719
62,441.628,1.1334,0.94049,0.01161,0.72939,0.65467,0.70205,0.45808,1.33607,1.22378,0.02208,0.00116365,0.00116365,0.00116365
63,448.082,1.12531,0.95141,0.01099,0.70298,0.58937,0.64286,0.43802,1.31632,1.44276,0.02111,0.0011554,0.0011554,0.0011554
64,454.611,1.05856,0.85172,0.01097,0.61838,0.6149,0.64146,0.42993,1.32269,1.34244,0.02028,0.00114715,0.00114715,0.00114715
65,462.028,1.086,0.90396,0.01104,0.70976,0.63875,0.68955,0.46621,1.32675,1.28538,0.02063,0.00113889,0.00113889,0.00113889
66,469.324,1.13018,0.92538,0.01105,0.67389,0.64676,0.67014,0.43442,1.38887,1.28629,0.0212,0.00113064,0.00113064,0.00113064
67,476.889,1.14331,0.93288,0.01168,0.68008,0.64992,0.68329,0.44396,1.37839,1.2176,0.0221,0.00112239,0.00112239,0.00112239
68,483.946,1.1086,0.89336,0.01088,0.72317,0.68939,0.73486,0.51319,1.26956,1.11732,0.01923,0.00111414,0.00111414,0.00111414
69,491.363,1.08198,0.85774,0.0111,0.68262,0.6351,0.6735,0.44763,1.36371,1.20328,0.02178,0.00110589,0.00110589,0.00110589
70,498.231,1.07164,0.86311,0.01096,0.71433,0.62626,0.71047,0.47009,1.31035,1.22713,0.01933,0.00109764,0.00109764,0.00109764
71,505.161,1.14876,0.93293,0.0114,0.71684,0.63131,0.69558,0.47258,1.25392,1.17081,0.01957,0.00108938,0.00108938,0.00108938
72,512.072,1.12407,0.88798,0.01169,0.69777,0.61111,0.66732,0.44092,1.36637,1.31505,0.0224,0.00108113,0.00108113,0.00108113
73,519.305,1.08442,0.85759,0.01069,0.67262,0.61943,0.64602,0.42113,1.36437,1.44107,0.02325,0.00107288,0.00107288,0.00107288
74,526.124,1.0834,0.88444,0.01103,0.72517,0.63133,0.70256,0.4751,1.30771,1.23595,0.02035,0.00106463,0.00106463,0.00106463
75,532.981,1.06181,0.8536,0.01036,0.70752,0.65541,0.72082,0.49731,1.23961,1.13576,0.01908,0.00105638,0.00105638,0.00105638
76,539.809,1.0982,0.89905,0.0108,0.70153,0.66162,0.7248,0.49878,1.27287,1.13594,0.01908,0.00104813,0.00104813,0.00104813
77,546.77,1.05726,0.84208,0.0108,0.75897,0.64457,0.71817,0.47994,1.34857,1.15196,0.02121,0.00103987,0.00103987,0.00103987
78,553.731,1.0823,0.85705,0.01157,0.74338,0.65025,0.71983,0.50388,1.24981,1.1255,0.01909,0.00103162,0.00103162,0.00103162
79,560.976,1.04938,0.82741,0.01042,0.7472,0.65834,0.73094,0.49093,1.32807,1.10328,0.02015,0.00102337,0.00102337,0.00102337
80,567.715,1.0899,0.86499,0.01086,0.71972,0.6476,0.71322,0.48591,1.31282,1.15935,0.02154,0.00101512,0.00101512,0.00101512
81,574.545,1.04078,0.83342,0.01013,0.72741,0.62879,0.71168,0.47291,1.29388,1.14416,0.01916,0.00100687,0.00100687,0.00100687
82,581.44,1.11181,0.92334,0.01092,0.73048,0.62838,0.71207,0.49164,1.25746,1.15824,0.01874,0.000998616,0.000998616,0.000998616
83,588.206,1.03416,0.8161,0.01046,0.68022,0.68016,0.69684,0.48563,1.24234,1.19386,0.01812,0.000990365,0.000990365,0.000990365
84,595.066,1.11467,0.90694,0.01114,0.70734,0.66739,0.70844,0.49788,1.24462,1.19465,0.01851,0.000982113,0.000982113,0.000982113
85,602.021,1.05627,0.85005,0.01065,0.68682,0.67551,0.70323,0.47614,1.29485,1.18615,0.01981,0.000973861,0.000973861,0.000973861
86,608.836,1.02002,0.80213,0.01012,0.68288,0.65584,0.70008,0.47323,1.31372,1.1947,0.01913,0.00096561,0.00096561,0.00096561
87,615.609,1.02094,0.80719,0.01015,0.73859,0.64899,0.72583,0.50277,1.24577,1.18921,0.01924,0.000957358,0.000957358,0.000957358
88,622.423,1.01639,0.76619,0.00962,0.72611,0.67677,0.72084,0.49684,1.26508,1.20218,0.01949,0.000949106,0.000949106,0.000949106
89,629.55,1.10501,0.86789,0.01075,0.74956,0.65871,0.73995,0.50103,1.27135,1.20767,0.0203,0.000940855,0.000940855,0.000940855
90,636.375,1.03323,0.78827,0.01038,0.7399,0.66919,0.73132,0.50169,1.23987,1.18338,0.01861,0.000932603,0.000932603,0.000932603
91,643.211,1.08463,0.86397,0.01063,0.76161,0.66751,0.73655,0.50641,1.23305,1.1429,0.01816,0.000924352,0.000924352,0.000924352
92,650.591,1.04859,0.82005,0.01041,0.75854,0.68939,0.73497,0.48516,1.29385,1.20309,0.01936,0.0009161,0.0009161,0.0009161
93,657.56,1.02824,0.78053,0.01019,0.76633,0.66414,0.73249,0.50403,1.22041,1.22494,0.01815,0.000907848,0.000907848,0.000907848
94,664.52,1.02128,0.78479,0.0106,0.73727,0.67506,0.74251,0.51665,1.22485,1.12751,0.01869,0.000899597,0.000899597,0.000899597
95,671.693,0.99455,0.74846,0.01032,0.74188,0.66235,0.74912,0.5144,1.24955,1.12735,0.01904,0.000891345,0.000891345,0.000891345
96,678.314,1.02429,0.78956,0.01043,0.73913,0.68226,0.74106,0.50004,1.30393,1.12253,0.01997,0.000883093,0.000883093,0.000883093
97,685.001,1.01649,0.78966,0.01026,0.79072,0.62202,0.73101,0.51338,1.23851,1.1731,0.01842,0.000874842,0.000874842,0.000874842
98,691.634,0.99275,0.77936,0.01004,0.71926,0.67227,0.74236,0.51722,1.23087,1.15292,0.01908,0.00086659,0.00086659,0.00086659
99,698.637,1.00314,0.76802,0.00962,0.70534,0.71338,0.74043,0.508,1.25179,1.21278,0.01844,0.000858338,0.000858338,0.000858338
100,704.983,0.98654,0.75016,0.00984,0.72701,0.69949,0.74437,0.52744,1.2108,1.1226,0.01822,0.000850087,0.000850087,0.000850087
101,711.722,1.00365,0.79127,0.01025,0.74563,0.7066,0.75023,0.52013,1.23472,1.14456,0.01832,0.000841835,0.000841835,0.000841835
102,718.278,1.04566,0.79293,0.01004,0.69496,0.67298,0.73791,0.50958,1.2053,1.13051,0.0183,0.000833583,0.000833583,0.000833583
103,724.574,0.9642,0.70529,0.00943,0.73082,0.6706,0.74123,0.52832,1.23617,1.0658,0.01857,0.000825332,0.000825332,0.000825332
104,731.369,1.01876,0.75331,0.01009,0.70933,0.68813,0.74401,0.51892,1.20832,1.07766,0.01835,0.00081708,0.00081708,0.00081708
105,737.733,0.97909,0.72277,0.00946,0.80977,0.63015,0.73875,0.52122,1.22402,1.14772,0.01788,0.000808828,0.000808828,0.000808828
106,743.938,0.98243,0.72804,0.00964,0.77083,0.64646,0.73739,0.50962,1.25764,1.13318,0.01915,0.000800577,0.000800577,0.000800577
107,750.426,0.99325,0.73619,0.00966,0.73244,0.68434,0.74343,0.5109,1.24466,1.05699,0.0184,0.000792325,0.000792325,0.000792325
108,756.606,0.95281,0.71476,0.00931,0.73026,0.66451,0.73273,0.50757,1.19967,1.1044,0.01724,0.000784073,0.000784073,0.000784073
109,762.735,0.9556,0.72618,0.00905,0.71055,0.62626,0.69744,0.47685,1.25521,1.23191,0.01832,0.000775822,0.000775822,0.000775822
