epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
70,1918.53,1.02335,0.78863,0.01088,0.73631,0.70076,0.72887,0.47567,1.33764,1.12026,0.02387,0.00109764,0.00109764,0.00109764
71,1945.86,1.04359,0.80946,0.01125,0.71702,0.65025,0.7301,0.50383,1.2527,1.14525,0.02044,0.00108938,0.00108938,0.00108938
72,1971.08,1.06264,0.8248,0.01127,0.72998,0.62522,0.70605,0.46151,1.35211,1.17712,0.02335,0.00108113,0.00108113,0.00108113
73,2003.32,1.02853,0.7992,0.01091,0.75529,0.67803,0.76006,0.52447,1.26328,1.0554,0.02181,0.00107288,0.00107288,0.00107288
74,2031.24,1.01928,0.76963,0.01078,0.69309,0.67764,0.73148,0.49777,1.23554,1.08243,0.01934,0.00106463,0.00106463,0.00106463
75,2070.93,0.98637,0.71684,0.0105,0.7533,0.68182,0.77084,0.53107,1.19655,1.06642,0.01818,0.00105638,0.00105638,0.00105638
76,2101.16,0.96848,0.7074,0.0097,0.77715,0.68685,0.77748,0.52257,1.23791,1.00101,0.02042,0.00104813,0.00104813,0.00104813
77,2129.45,1.03924,0.78315,0.01065,0.68232,0.69221,0.74263,0.49673,1.21625,1.06952,0.02009,0.00103987,0.00103987,0.00103987
78,2157.29,1.00605,0.74322,0.01075,0.71122,0.70836,0.73833,0.4988,1.26142,1.04506,0.02178,0.00103162,0.00103162,0.00103162
79,2188.32,0.97946,0.74435,0.01034,0.72123,0.68561,0.74438,0.51154,1.21932,1.03331,0.02098,0.00102337,0.00102337,0.00102337
80,2219.33,0.97914,0.71799,0.01059,0.75189,0.66035,0.74527,0.51418,1.17952,1.05206,0.01903,0.00101512,0.00101512,0.00101512
81,2247.74,1.04683,0.82277,0.01095,0.72538,0.69949,0.75287,0.52595,1.17045,0.99501,0.0185,0.00100687,0.00100687,0.00100687
82,2273.41,0.98619,0.7481,0.01043,0.7278,0.69444,0.74576,0.50133,1.26061,1.07092,0.02209,0.000998616,0.000998616,0.000998616
83,2300.26,0.98835,0.71649,0.01047,0.69676,0.72831,0.76125,0.52667,1.19557,1.06573,0.01901,0.000990365,0.000990365,0.000990365
84,2325.92,0.98734,0.74003,0.01026,0.72531,0.72012,0.764,0.52548,1.19321,1.00253,0.0186,0.000982113,0.000982113,0.000982113
85,2350.74,1.00125,0.733,0.01073,0.76292,0.64646,0.74597,0.50354,1.2025,1.06161,0.01857,0.000973861,0.000973861,0.000973861
