epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
98,1684.64,0.92013,0.65425,0.00889,0.80273,0.70235,0.80054,0.5849,1.11628,0.93212,0.01691,0.00086659,0.00086659,0.00086659
99,1702.49,0.89614,0.6396,0.00847,0.79658,0.71212,0.79003,0.56262,1.13489,0.97361,0.01674,0.000858338,0.000858338,0.000858338
100,1718.52,0.87433,0.60727,0.00848,0.751,0.75043,0.79784,0.56168,1.12954,0.95843,0.01712,0.000850087,0.000850087,0.000850087
101,1735.04,0.91254,0.67029,0.00863,0.77232,0.69904,0.7818,0.55613,1.13035,0.97683,0.01741,0.000841835,0.000841835,0.000841835
102,1751.07,0.92238,0.65742,0.00892,0.78697,0.73106,0.79847,0.56359,1.09861,0.97763,0.01644,0.000833583,0.000833583,0.000833583
103,1767.34,0.8689,0.61362,0.00822,0.79843,0.72475,0.78785,0.55449,1.13388,0.98215,0.01829,0.000825332,0.000825332,0.000825332
104,1784.51,0.89553,0.62977,0.00884,0.81469,0.70948,0.7975,0.57115,1.0979,0.95187,0.01699,0.00081708,0.00081708,0.00081708
105,1800.91,0.8977,0.62673,0.00847,0.72312,0.78409,0.80256,0.58005,1.06945,0.91424,0.01632,0.000808828,0.000808828,0.000808828
106,1817.29,0.88682,0.61799,0.00863,0.82312,0.71734,0.79106,0.57439,1.09161,0.95583,0.01622,0.000800577,0.000800577,0.000800577
107,1833.99,0.88572,0.64141,0.00829,0.82213,0.71521,0.7907,0.568,1.08708,0.93143,0.01619,0.000792325,0.000792325,0.000792325
108,1850.78,0.87547,0.64321,0.00882,0.73456,0.77399,0.80882,0.58853,1.10662,0.8833,0.01686,0.000784073,0.000784073,0.000784073
109,1869.41,0.89249,0.61458,0.00813,0.83407,0.69311,0.80076,0.59104,1.05364,0.91407,0.01586,0.000775822,0.000775822,0.000775822
110,1887.39,0.87974,0.62902,0.00852,0.78243,0.73106,0.79908,0.58674,1.08316,0.91008,0.01624,0.00076757,0.00076757,0.00076757
111,1905,0.92382,0.65425,0.00904,0.78612,0.74194,0.80573,0.59288,1.06203,0.92527,0.01504,0.000759318,0.000759318,0.000759318
